lines,bytes,functions,max_function_lines,except_exception,ast_branch_nodes,path
220,8541,10,60,0,50,authoritative_private_memory.py
215,7452,4,77,0,51,photo_reference_plan.py
208,7586,8,51,5,52,group_context_interception.py
200,8864,11,25,0,45,identity_namespace.py
195,10348,7,46,0,76,state_views.py
184,6174,12,43,2,23,desktop_pet_bridge.py
183,7415,12,32,0,50,owned_reaction_asset_catalog.py
181,6807,8,43,0,51,reference_assets.py
179,7667,13,32,0,44,domains/affect/reply_temperature.py
173,7032,14,23,1,7,logging_util.py
171,5624,6,63,2,42,tool_history_sanitizer.py
167,5943,11,35,0,26,prompt_surface.py
162,7793,5,98,3,36,migration_read_router.py
162,6779,8,67,0,27,domains/affect/emotion_event_contract.py
160,5913,4,63,1,51,qzone_json.py
159,6522,8,65,0,44,p4_shadow.py
159,6171,7,43,4,24,nai_image_bridge.py
157,6672,6,75,0,40,activity_capture.py
154,6050,7,48,0,33,context_orchestration.py
153,6077,12,38,0,24,extension_api_scheduler.py
152,6811,8,41,0,25,req041_observability.py
150,5352,8,25,3,46,event_dispatch_core.py
147,5181,3,55,0,18,relationship_affinity_runtime.py
141,6118,9,54,0,30,extension_api_identity.py
141,5840,5,35,0,36,scoped_runtime_view.py
134,6028,4,49,0,47,scoped_domain_contract.py
132,4804,5,51,4,18,runtime_compat.py
126,4811,5,48,1,17,companion/integrations/optional_plugin.py
126,4110,5,26,0,18,relationship_event_policy.py
125,5543,3,59,0,34,domains/affect/interaction_dynamics.py
117,5129,3,31,0,25,namespace_capability.py
108,4154,5,26,0,39,p4_affinity_confinement.py
107,3553,4,37,3,29,private_scope_isolation.py
106,4674,5,40,0,25,p6_four_package_manifest.py
103,3838,7,37,0,13,extension_api_memory.py
102,5021,3,71,0,40,migration_stability.py
102,3272,2,35,0,22,group_cycle_boundary.py
97,3271,4,15,0,8,group_command_system.py
95,4462,1,81,0,19,interaction_query_orchestrator.py
86,2825,2,43,0,20,companion_memory_records.py
85,3612,6,23,0,19,reaction_asset_usage.py
84,2977,5,24,1,14,page_backend/backups.py
80,2495,2,43,0,13,proactive_decision_policy.py
73,2471,4,30,0,11,interaction_tool_contract.py
72,2791,5,33,0,9,reaction_asset_index.py
69,2151,2,31,0,14,photo_generation_scope.py
69,2072,5,8,1,10,plugin_identity.py
64,3047,4,28,1,11,extension_api_diagnostics.py
62,2363,2,33,0,18,domains/affect/emotion_event_ledger.py
61,2468,1,43,0,5,photo_reference_feedback.py
53,1630,0,0,0,0,qzone_integration.py
52,2338,2,22,0,7,p4_runtime_gate.py
51,2053,3,22,0,12,p6_readonly_projection.py
47,1963,1,32,0,9,domains/affect/affect_modulation.py
